group,sender,date,College,Interview Outcome,Visa Attempt Number,Interview Date,Interview Time,Interview City,Interview Country,Exam Type,Exam Score,English Test Type,English Test Score,Grad Level,Grad Major,Grad GPA,Grad Institute,Grad Country,Job Type,Job Years
f1interviewreviews,-1001285729190,2023-08-10 15:51:21+00:00,Concordia St Paul university,Approved,1.0,2023-06-07,11:30,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",Others,0.0,TOEFL,90.0,Bachelors (4 Years),Electronics and Communication Engineering,7.22,Sai Tirumala NVR Engineering College,"India

        Job Profile",IT Analyst,1.0
f1interviewreviews,-1001285729190,2023-08-10 14:17:21+00:00,Pittsburgh State University,Approved,1.0,2023-06-08,08:40,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,6.5,Bachelors (3 Years),BBA-MA,6.39,Gitam University Hyderabad,"India

        Job Profile",Quality Specialist,1.5
f1interviewreviews,-1001285729190,2023-08-10 12:21:22+00:00,University of Missouri Kansas City,Approved,1.0,2023-06-07,8:00AM,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,320.0,TOEFL,101.0,Bachelors-4,Information and Communication Technology,7.28,SASTRA Deemed to be University,"India

        Job Profile",Software Engineer,1.9
f1interviewreviews,-1001285729190,2023-08-10 10:37:21+00:00,New York Institute of Technology,Rejected,2.0,2023-07-10,12:00,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Others,84.0,TOEFL,84.0,Bachelors-3,Commerce,7.98,Osmania University,"India

        Job Profile",No Experience,0.0
f1interviewreviews,-1001285729190,2023-08-10 09:01:27+00:00,American university,Approved,1.0,2023-06-08,8:30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,8.0,Bachelors (3 Years),Bcom honours,9.45,Christ deemed to be university,"India

        Job Profile",Audit,2.0
f1interviewreviews,-1001285729190,2023-08-10 07:25:21+00:00,University of Colorado,Approved,1.0,2023-06-07,10.30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Others,0.0,IELTS,7.5,Bachelors (4 Years),Electrical and Electronics Engineering,8.8,VIT Chennai,"India

        Job Profile",Assistant Manager,4.0
f1interviewreviews,-1001285729190,2023-08-10 05:35:21+00:00,University of north Texas,Approved,1.0,2023-06-08,08:30,Chennai,"India 

        
 @f1interviewreviews


        Exam Profile",GRE,316.0,Dulingo,110.0,Bachelors-4,computer science and engineering,7.3,Mallareddy engineering college for women,"India

        Job Profile",,1.8
f1interviewreviews,-1001285729190,2023-08-10 02:27:21+00:00,University of Scranton Scranton city,Approved,1.0,2023-06-06,09:30,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",Others,0.0,Dulingo,130.0,Bachelors-3,Bcom Finance and cost accountancy,5.5,Indira Gandhi National open University,"India

        Job Profile",Senior audit executive,2.0
f1interviewreviews,-1001285729190,2023-08-09 14:42:21+00:00,Purdue,Approved,1.0,2023-06-07,10:20,Mumbai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,313.0,IELTS,8.0,Bachelors (4 Years),Production Engg,9.05,FRCRCE,"India

        Job Profile",Mechanical Production Engg,1.7
f1interviewreviews,-1001285729190,2023-08-09 13:02:21+00:00,Babson College,Approved,1.0,2023-06-07,9:30,Mumbai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,7.0,Masters,Computer Science Engineering,7.65,NIT Allahabad,"India

        Job Profile",Senior Software Engineer,5.0
f1interviewreviews,-1001285729190,2023-08-09 11:16:21+00:00,Hofstra University,Approved,1.0,2023-06-07,9:50,New Delhi,"New Delhi 

        
 @f1interviewreviews


        Exam Profile",GRE,315.0,TOEFL,89.0,Bachelors (4 Years),B pharmacy,7.0,Anurag group of institutions,"India

        Job Profile",Medical coder,1.0
f1interviewreviews,-1001285729190,2023-08-09 09:38:21+00:00,Saint Louis University,Approved,1.0,2023-06-07,09:45,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,Dulingo,110.0,Bachelors-4,Computer Science Engineering,7.01,Swarna Bharathi Institute of Science and Technology,"India

        Job Profile",Software Developer,1.6
f1interviewreviews,-1001285729190,2023-08-09 08:01:21+00:00,Missouri State University,Rejected,2.0,2023-07-11,10:30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Others,6.0,IELTS,6.0,Bachelors-3,Bachelor's In Hotel Management,8.36,Sun international institute of management and technology,"India

        Job Profile",Genpact as a Process Associate,0.6
f1interviewreviews,-1001285729190,2023-08-09 06:15:22+00:00,University of Dayton,Approved,1.0,2023-06-07,11:50,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",GRE,320.0,Dulingo,125.0,Bachelors (4 Years),Electronic and communication engineering,6.42,GURUNANAK INSTITUTE OF TECHNICAL CAMPUS,"India

        Job Profile",Intern,6.0
f1interviewreviews,-1001285729190,2023-08-09 04:16:21+00:00,Saint Louis,Approved,1.0,2023-06-01,09:45,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",GRE,321.0,TOEFL,96.0,Bachelors (4 Years),Civil Engineer,8.32,SASTRA University,"India

        Job Profile",Data Analyst,1.3
f1interviewreviews,-1001285729190,2023-08-09 02:18:21+00:00,Pace University,Approved,1.0,2023-06-05,09:10,Mumbai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,296.0,IELTS,7.0,Bachelors-4,Electronics and Telecommunications,7.7,Yeshwantrao Chawan College of Engineering Nagpur,"India

        Job Profile",Software Engineer,1.0
f1interviewreviews,-1001285729190,2023-08-08 14:20:22+00:00,Valparaiso university,Rejected,2.0,2023-07-11,10:30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,Dulingo,115.0,Bachelors-3,Computer Applications,8.33,Osmania University,"India

        Job Profile",,0.0
f1interviewreviews,-1001285729190,2023-08-08 06:41:22+00:00,California Lutheran university,Approved,1.0,2023-06-07,11:30,Chennai,"USA

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,TOEFL,106.0,Bachelors-4,Electrical and electronics engineering,6.22,Sri Siddhartha institute of technology,"India 

        Job Profile",System engineer,3.0
f1interviewreviews,-1001285729190,2023-08-08 02:54:21+00:00,Auburn university,Rejected,1.0,2023-06-01,11:00,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,TOEFL,82.0,Bachelors (4 Years),Computer Science,7.1,Nova college of eng,"India

        Job Profile",Software developer,3.5
f1interviewreviews,-1001285729190,2023-08-07 14:02:21+00:00,Stevens institute of technology,Approved,1.0,2023-06-07,10:30,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",GRE,310.0,IELTS,6.5,Bachelors (4 Years),Mechanical Engineering,6.41,SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,"India

        Job Profile",Nothing,0.0
f1interviewreviews,-1001285729190,2023-08-07 10:15:22+00:00,Concordia university St Paul,Rejected,1.0,2023-07-10,8:30,Chennai,"American Nigerian

        
 @f1interviewreviews


        Exam Profile",GRE,318.0,Dulingo,105.0,Bachelors (4 Years),Computer science,6.5,Jntu h,"India

        Job Profile",Data analyst,5.3
f1interviewreviews,-1001285729190,2023-08-07 08:21:21+00:00,University of North Texas,Approved,1.0,2023-06-07,10:00,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,8.0,Bachelors-4,Information Technology,6.7,Muffakham Jah college of Engineering and Technology,"India

        Job Profile",IT Engineer,3.5
f1interviewreviews,-1001285729190,2023-08-07 06:40:21+00:00,Harrisburg univeristy,Rejected,1.0,2023-07-10,09:50,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",Others,6.0,Dulingo,130.0,Bachelors-4,Electrical and electronics eng,6.4,Jntuh,"India

        Job Profile",Business development team member,0.9
f1interviewreviews,-1001285729190,2023-08-07 02:59:21+00:00,LEWIS UNIVERSITY,Approved,1.0,2023-06-07,09:45,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",GRE,322.0,TOEFL,93.0,Bachelors-3,Bachelor of business administration,5.57,SRM INSTITUTION OF SCIENCE AND TECHNOLOGY,"India

        Job Profile",Business development executive,2.0
f1interviewreviews,-1001285729190,2023-08-06 13:47:22+00:00,University of central missouri,Approved,1.0,2023-06-07,11:50,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",GRE,318.0,IELTS,7.0,Bachelors-4,Electronics and communication engineering,6.3,Lovely professional University,"India

        Job Profile",Cloud data engineer,2.8
f1interviewreviews,-1001285729190,2023-08-06 11:50:22+00:00,Wichita State University,Approved,1.0,2023-06-07,8:00,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",GRE,322.0,TOEFL,92.0,Bachelors (3 Years),Mechanical engineering,8.21,KHIT,"India

        Job Profile",Internship,0.6
f1interviewreviews,-1001285729190,2023-08-06 10:17:21+00:00,Lamar university,Approved,1.0,2023-06-07,10:00,CHENNAI,"INDIA

        
 @f1interviewreviews


        Exam Profile",GRE,321.0,TOEFL,90.0,Bachelors (4 Years),Mechanical engineering,6.7,Jawaharlal Nehru Technological University,"INDIA

        Job Profile",Senior software engineer,5.0
f1interviewreviews,-1001285729190,2023-08-06 06:49:21+00:00,George Washington University,Approved,1.0,2023-06-07,12:00,Mumbai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,300.0,IELTS,7.0,Bachelors (4 Years),Computer Engineering,8.85,VCET,"India

        Job Profile",Student,0.0
f1interviewreviews,-1001285729190,2023-08-06 05:18:22+00:00,Saint Louis University,Rejected,1.0,2023-07-06,10:00,Chennai,"India 

        
 @f1interviewreviews


        Exam Profile",GRE,316.0,Dulingo,120.0,Bachelors-4,Information technology,8.77,Vishnu Institute of technology,"India 

        Job Profile",Recently graduated,0.0
f1interviewreviews,-1001285729190,2023-08-06 03:35:20+00:00,University of Wisconsin,Approved,1.0,2023-06-07,08:45,Kolkata,"Kolkata

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,Dulingo,125.0,Bachelors (4 Years),Computer Science and Engineering,6.63,Lovely Professional University,"India

        Job Profile",Software Engineer,2.0
f1interviewreviews,-1001285729190,2023-08-06 02:04:22+00:00,Stevens Institute of Technology,Approved,1.0,2023-06-02,11:20,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",GRE,320.0,IELTS,6.5,Bachelors (3 Years),Bachelors of Commerce,7.8,Osmania university,"India

        Job Profile",Data analyst,1.5
f1interviewreviews,-1001285729190,2023-08-05 13:18:21+00:00,Dallas Baptist University,Approved,1.0,2023-06-07,09:30,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,7.0,Bachelors (4 Years),E.C.E,6.7,JB Institute of Engineering and Technology,"India

        Job Profile",Business systems Analyst,2.1
f1interviewreviews,-1001285729190,2023-08-05 07:54:21+00:00,Rutgers University,Approved,1.0,2023-06-07,11:30,Chennai,"USA

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,TOEFL,105.0,Masters,PHARM D,8.2,JSS ACADEMY OF HIGHER EDUCATION AND RESEARCH,"India

        Job Profile",Clinical Data Scientist,2.5
f1interviewreviews,-1001285729190,2023-08-05 06:15:21+00:00,New Haven,Approved,1.0,2023-06-07,9.15,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,319.0,Dulingo,110.0,Bachelors (4 Years),Mechanical engineering,8.01,KL University,"India

        Job Profile",Business analyst at Genpact,3.3
f1interviewreviews,-1001285729190,2023-08-05 04:43:21+00:00,Lewis University,Approved,1.0,2023-06-06,09.30,Mumbai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,Dulingo,120.0,Bachelors (3 Years),Commerce,6.0,Osmania University,"India

        Job Profile",IT Support Specialist,9.6
f1interviewreviews,-1001285729190,2023-08-05 02:51:21+00:00,Illinois institute of technology,Rejected,1.0,2023-07-05,12:00,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,6.5,Bachelors (4 Years),Mechanical engineering,7.7,VTU,"India

        Job Profile",Associate,2.7
f1interviewreviews,-1001285729190,2023-08-04 11:15:21+00:00,Troy University,Rejected,1.0,2023-06-08,10:30,Hyderabad,"India 

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,Dulingo,125.0,Bachelors-4,computer science,6.5,Jain University bangalore,"india

        Job Profile",azure infrastructure engineer,2.5
f1interviewreviews,-1001285729190,2023-08-04 09:16:21+00:00,Missouri University of Science and Technology,Approved,1.0,2023-06-06,08:40,Delhi,"No 12

        
 @f1interviewreviews


        Exam Profile",GRE,319.0,Dulingo,120.0,Bachelors (4 Years),Electronics and Communication Engineering,7.0,Geethanjali collage of engineering and technology,"India

        Job Profile",Jr Security analyst,0.7
f1interviewreviews,-1001285729190,2023-08-04 07:38:22+00:00,Illinois institute of technology,Approved,1.0,2023-06-07,9:00,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,6.5,Bachelors-3,Risk management finance,6.9,Jain university,"India

        Job Profile",Audit executive,4.0
f1interviewreviews,-1001285729190,2023-08-04 06:08:21+00:00,Adelphi University,Approved,1.0,2023-06-07,9.15,Mumbai,"India 

        
 @f1interviewreviews


        Exam Profile",Exempt,0.0,IELTS,7.5,Bachelors (3 Years),Computer Applications,7.5,University of Mumbai,"India

        Job Profile",Business Analyst,1.5
f1interviewreviews,-1001285729190,2023-08-04 04:13:22+00:00,THE Jhons Hopkins University,Approved,1.0,2023-06-07,8:00,Hyderabad,"India

        
 @f1interviewreviews


        Exam Profile",Others,0.0,TOEFL,104.0,Others,M.B.B.S,4.0,KLE,"India

        Job Profile",Doctor,1.0
f1interviewreviews,-1001285729190,2023-08-04 02:18:21+00:00,Illinois Institute of Technology,Approved,1.0,2023-06-07,8:00,Hyderabad,"India 

        
 @f1interviewreviews


        Exam Profile",GRE,317.0,IELTS,6.5,Bachelors-4,Mechanical Engineering,8.1,Malla Reddy Engineering College,"India

        Job Profile",Fresher,0.0
f1interviewreviews,-1001285729190,2023-08-03 15:31:16+00:00,NJIT,Approved,1.0,2023-06-07,10:30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,324.0,TOEFL,109.0,Bachelors (4 Years),Computer Science,7.55,SSIT,"India

        Job Profile",Senior Analyst,1.9
f1interviewreviews,-1001285729190,2023-08-03 13:32:21+00:00,Lewis university location Romeoville,Rejected,1.0,2023-07-06,8:30,Mumbai,"Usa

        
 @f1interviewreviews


        Exam Profile",Exempt,160.0,Dulingo,145.0,Bachelors-3,B.Com,8.1,Osmania university,"India 

        Job Profile",Gampact company,2.5
f1interviewreviews,-1001285729190,2023-08-03 11:43:21+00:00,University of Texas at Arlington,Approved,1.0,2023-06-07,9:30,Chennai,"India

        
 @f1interviewreviews


        Exam Profile",GRE,300.0,IELTS,7.0,Bachelors (4 Years),Computer Science and Engineering,7.8,VR Siddhartha Engineering College,"India

        Job Profile",,1.0
f1interviewreviews,-1001285729190,2023-08-02 05:52:25+00:00,Suny Albany,Approved,1.0,2023-06-08,11:40,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",GRE,322.0,Dulingo,135.0,Bachelors-4,Electronics and communication engineering,8.02,PvP Siddhartha institute of technology,"India

        Job Profile",Fresher,0.0
f1interviewreviews,-1001285729190,2023-08-02 05:48:20+00:00,University of New Haven,Rejected,1.0,2023-07-10,8:50,Delhi,"India 

        
 @f1interviewreviews


        Exam Profile",Others,61.0,Dulingo,110.0,HighSchool,Going for computer and information sciences,7.5,PKR Jain public school,"India

        Job Profile",Study,18.0
f1interviewreviews,-1001285729190,2023-08-02 05:43:00+00:00,George mason University,Approved,1.0,2023-06-07,11:50,Delhi,"India

        
 @f1interviewreviews


        Exam Profile",GRE,299.0,TOEFL,87.0,Bachelors-4,Computer science and engineering,8.0,Pes college of engineering,"India

        Job Profile",Application development analyst,2.4
